year,period,match_minute,goals,goals_opp,shots,shots_opp,shots_on_goal,sog_opp,saves,saves_opp
2023,1st,15,0,0,0,0,141,0,0,0
2023,2nd,30,0,0,0,0,140,0,0,0
2023,3rd,45,0,0,0,0,115,0,0,0
2023,4th,60,0,0,0,0,107,0,0,0
2024,1st,15,108,0,0,0,0,0,44,0
2024,2nd,30,82,0,0,0,0,0,38,0
2024,3rd,45,74,0,0,0,0,0,29,0
2024,4th,60,71,0,0,0,0,0,43,0
2024,OT,65,0,0,0,0,0,0,0,0
2025,1st,15,74,0,145,0,0,0,43,0
2025,2nd,30,65,0,147,0,0,0,42,0
2025,3rd,45,48,0,129,0,0,0,37,0
2025,4th,60,47,0,114,0,0,0,39,0
2025,OT,65,0,0,2,0,0,0,1,0
2025,OT2,70,1,0,1,0,0,0,0,0
